sleeper_id,fantasypros_id,mfl_id,name,merge_name,position,team
6813,19217,14802,Jonathan Taylor,jonathan taylor,RB,IND
7021,19647,14823,Rico Dowdle,rico dowdle,RB,PIT
6786,19202,14832,CeeDee Lamb,ceedee lamb,WR,DAL
6783,19201,14833,Jerry Jeudy,jerry jeudy,WR,CLE
6801,19211,14835,Tee Higgins,tee higgins,WR,CIN
6794,19236,14836,Justin Jefferson,justin jefferson,WR,MIN
6803,19252,14840,Brandon Aiyuk,brandon aiyuk,WR,SFO
6819,19278,14842,Michael Pittman,michael pittman,WR,PIT
7049,19590,14860,Jauan Jennings,jauan jennings,WR,MIN
7002,19562,14861,Juwan Johnson,juwan johnson,TE,NOS
6826,19229,14867,Cole Kmet,cole kmet,TE,CHI
6865,19372,14871,Colby Parkinson,colby parkinson,TE,LAR
7090,19810,14974,Darnell Mooney,darnell mooney,WR,NYG
5849,18600,14056,Kyler Murray,kyler murray,QB,MIN
5870,18232,14059,Daniel Jones,daniel jones,QB,IND
5892,18239,14071,David Montgomery,david montgomery,RB,HOU
5850,18269,14073,Josh Jacobs,josh jacobs,RB,GBP
6130,18280,14080,Devin Singletary,devin singletary,RB,NYG
5967,18705,14085,Tony Pollard,tony pollard,RB,TEN
5995,18256,14086,Justice Hill,justice hill,RB,BAL
6039,18406,14095,Ty Johnson,ty johnson,RB,BUF
5846,18219,14102,DK Metcalf,dk metcalf,WR,PIT
5859,18218,14104,A.J. Brown,aj brown,WR,NEP
5848,18226,14105,Marquise Brown,marquise brown,WR,PHI
5927,18466,14109,Terry McLaurin,terry mclaurin,WR,WAS
6149,18706,14122,Darius Slayton,darius slayton,WR,IND
5947,18598,14127,Jakobi Meyers,jakobi meyers,WR,JAC
5872,18244,14136,Deebo Samuel,deebo samuel,WR,SFO
5857,17527,14137,Noah Fant,noah fant,TE,NOS
5844,18290,14138,T.J. Hockenson,tj hockenson,TE,MIN
5906,18631,14143,Dawson Knox,dawson knox,TE,BUF
5973,18487,14209,Josh Oliver,josh oliver,TE,MIN
4984,17298,13589,Josh Allen,josh allen,QB,BUF
4892,17237,13590,Baker Mayfield,baker mayfield,QB,TBB
4943,17236,13592,Sam Darnold,sam darnold,QB,SEA
4881,17233,13593,Lamar Jackson,lamar jackson,QB,BAL
4866,17240,13604,Saquon Barkley,saquon barkley,RB,PHI
4981,17258,13629,Calvin Ridley,calvin ridley,WR,TEN
5045,17253,13630,Courtland Sutton,courtland sutton,WR,DEN
4950,17268,13633,Christian Kirk,christian kirk,WR,SFO
4983,17265,13635,D.J. Moore,dj moore,WR,BUF
5012,17269,13671,Mark Andrews,mark andrews,TE,BAL
4993,17272,13672,Mike Gesicki,mike gesicki,TE,CIN
5022,17270,13674,Dallas Goedert,dallas goedert,TE,PHI
